,graph,node,DebtRank,time_steps,v_j,degree_centrality,betweenness_centrality,eigenvector_centrality,cap_buffer
486,barabasi_albert,186,0.11447702046560654,7,0.00042865426288941216,0.013377926421404682,0.0014322690812155038,0.0051937893790158,148.16083315366274
487,barabasi_albert,187,0.2064609525757037,6,0.002063288503898731,0.020066889632107024,0.005620757032461038,0.02431641026243847,82.63817898287306
488,barabasi_albert,188,0.1593418140264496,7,0.0018295689902285699,0.020066889632107024,0.003078493344424524,0.01581059855472143,75.35738513027141
489,barabasi_albert,189,0.1150992700503654,7,0.0003807144983591281,0.013377926421404682,9.748057603324603e-05,0.006087775792626871,303.4986817668234
490,barabasi_albert,190,0.17115884726872116,7,0.0006643464353928935,0.013377926421404682,0.000299293447661412,0.020395579868125163,276.2743426852327
491,barabasi_albert,191,0.12149291812113637,7,0.002211523780103763,0.020066889632107024,0.001944366467279401,0.011282534208776902,365.25593014379604
492,barabasi_albert,192,0.21702108880249235,6,0.0006951130035394896,0.013377926421404682,0.0016713548828081778,0.039599198324201314,267.4116183235093
493,barabasi_albert,193,0.1393190785963736,7,0.0023095032726954175,0.013377926421404682,0.0001133532356176068,0.012640145854759977,82.04361732585589
494,barabasi_albert,194,0.1976818737861923,6,0.0022589624554068717,0.026755852842809364,0.005175345432100006,0.03626177093011352,421.41040436389477
495,barabasi_albert,195,0.19945370424160516,7,0.0010592478942028454,0.020066889632107024,0.0007816264058641521,0.02309192565823604,1024.0692485367672
496,barabasi_albert,196,0.18072672027256115,7,0.004152950637355832,0.026755852842809364,0.004156945872620043,0.02007909517973247,241.11840949987095
497,barabasi_albert,197,0.1951011158591023,6,0.0021045588865432766,0.013377926421404682,0.0010050090098798327,0.03484463440241258,32.905503865152376
498,barabasi_albert,198,0.2219742136208312,7,0.001542013952976155,0.020066889632107024,0.00198466687051134,0.02692025162512337,336.9195046916024
499,barabasi_albert,199,0.1616881257754617,7,0.005281588101864191,0.026755852842809364,0.00467598839340294,0.010264168264775097,143.91674813192893
500,barabasi_albert,200,0.15673494081598055,7,0.001958896108305778,0.013377926421404682,0.00046451363880410147,0.009342937494323071,365.0776296464135
501,barabasi_albert,201,0.13174651628592138,7,0.0010268796915604728,0.013377926421404682,0.0008468351597574292,0.010718193332584499,268.3947484884583
502,barabasi_albert,202,0.1827403692565481,6,0.0014005898089758325,0.020066889632107024,0.005798507333885477,0.03252099341003802,856.0561281919327
503,barabasi_albert,203,0.19563113565612592,6,0.0004824878506401188,0.013377926421404682,0.001698990298853717,0.032099081580643125,206.25918988374963
504,barabasi_albert,204,0.23331966026370518,6,0.0012608481490903067,0.020066889632107024,0.004399493372012641,0.062203169857948895,1.3094162376728735
505,barabasi_albert,205,0.22488111482807724,6,0.0019951399279205914,0.013377926421404682,0.0,0.04740900086612541,22.733063134531793
506,barabasi_albert,206,0.13695670873252774,7,0.002482588234980684,0.013377926421404682,0.0018007076177806473,0.007679289786463726,39.01435899589631
507,barabasi_albert,207,0.2382210775324097,6,0.0007049246543187203,0.013377926421404682,0.0010468715180358612,0.06110619078702273,191.82791765441212
508,barabasi_albert,208,0.2260769790275213,6,0.001189348870314299,0.013377926421404682,0.0015054989462584328,0.058643276911756505,811.3362686068269
509,barabasi_albert,209,0.12386748685107643,7,0.0044083857291131465,0.013377926421404682,0.0001779127399203267,0.006688019573312555,13.48616876414332
510,barabasi_albert,210,0.25867633059995804,6,0.003865156175637065,0.026755852842809364,0.007219990247308806,0.04967721145196076,139.56607318430812
511,barabasi_albert,211,0.274263711338806,6,0.0004857205132168791,0.013377926421404682,0.0,0.06266305963974847,102.28203548432171
